brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
tata,tiago,manual,6.0,petrol,1199.0,94259.0,1.0,384000.0,,,,,
honda,jazz,manual,8.0,petrol,1199.0,79166.0,1.0,382000.0,,,,,
hyundai,new,manual,5.0,petrol,1086.0,61839.0,2.0,397000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,46628.0,1.0,522000.0,,,,,
maruti,wagon,manual,6.0,cng,998.0,87192.0,1.0,374000.0,,,,,
tata,nexon,manual,2.0,diesel,1497.0,45834.0,1.0,804000.0,,,,,
maruti,ignis,manual,2.0,petrol,1197.0,18015.0,1.0,528000.0,,,,,
tata,nexon,manual,4.0,diesel,1497.0,52276.0,1.0,718000.0,,,,,
ford,freestyle,manual,6.0,petrol,1194.0,87411.0,2.0,442000.0,,,,,
maruti,ignis,manual,5.0,petrol,1197.0,47484.0,1.0,431000.0,,,,,
hyundai,venue,manual,3.0,petrol,1197.0,19866.0,1.0,765000.0,,,,,
maruti,alto,manual,1.0,petrol,998.0,21607.0,1.0,467000.0,,,,,
hyundai,grand,manual,9.0,petrol,1197.0,62536.0,1.0,311000.0,,,,,
mg,hector,manual,5.0,diesel,1956.0,33306.0,1.0,1286000.0,,,,,
hyundai,creta,automatic,5.0,diesel,1582.0,67168.0,1.0,1037000.0,,,,,
ford,ecosport,manual,5.0,diesel,1498.0,27603.0,3.0,670000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,36323.0,2.0,652000.0,,,,,
hyundai,tucson,manual,6.0,petrol,1999.0,43368.0,1.0,1225000.0,,,,,
hyundai,creta,manual,5.0,diesel,1396.0,51919.0,2.0,815000.0,,,,,
maruti,ciaz,manual,2.0,petrol,1462.0,15994.0,1.0,872000.0,,,,,
honda,city,manual,8.0,petrol,1497.0,72308.0,1.0,523000.0,,,,,
honda,amaze,manual,6.0,petrol,1199.0,27051.0,1.0,515000.0,,,,,
tata,tiago,manual,6.0,petrol,1199.0,35764.0,1.0,421000.0,,,,,
renault,kiger,manual,3.0,petrol,999.0,46375.0,2.0,654000.0,,,,,
kia,seltos,manual,5.0,petrol,,90505.0,1.0,980000.0,,,,,
mg,hector,automatic,5.0,petrol,1451.0,14172.0,1.0,1288000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,27841.0,1.0,581000.0,,,,,
tata,safari,manual,3.0,diesel,1956.0,30203.0,1.0,1546000.0,,,,,
maruti,ignis,manual,3.0,petrol,1197.0,25742.0,1.0,476000.0,,,,,
honda,amaze,manual,9.0,petrol,1198.0,91116.0,2.0,320000.0,,,,,
tata,altroz,manual,4.0,petrol,1199.0,30274.0,2.0,595000.0,,,,,
renault,kiger,automatic,3.0,petrol,999.0,30195.0,1.0,711000.0,,,,,
kia,seltos,manual,2.0,petrol,1497.0,51566.0,1.0,1162000.0,,,,,
kia,sonet,manual,2.0,petrol,998.0,4763.0,1.0,981000.0,,,,,
hyundai,new,manual,1.0,petrol,1197.0,20051.0,1.0,890000.0,,,,,
volkswagen,polo,manual,5.0,petrol,999.0,68763.0,1.0,534000.0,,,,,
hyundai,grand,manual,9.0,petrol,1197.0,63079.0,3.0,307000.0,,,,,
maruti,s,manual,2.0,petrol,1462.0,15983.0,1.0,852000.0,,,,,
maruti,baleno,manual,4.0,petrol,1197.0,55790.0,1.0,626000.0,,,,,
kia,seltos,manual,3.0,petrol,1497.0,38307.0,1.0,1058000.0,,,,,
nissan,magnite,automatic,2.0,petrol,999.0,18193.0,2.0,836000.0,,,,,
hyundai,venue,manual,5.0,petrol,998.0,57649.0,2.0,729000.0,,,,,
honda,amaze,automatic,1.0,petrol,1199.0,8376.0,1.0,816000.0,,,,,
renault,triber,manual,2.0,petrol,999.0,13196.0,1.0,690000.0,,,,,
maruti,ertiga,manual,12.0,petrol,1373.0,54751.0,1.0,407000.0,,,,,
datsun,go,manual,5.0,petrol,1198.0,27695.0,1.0,400000.0,,,,,
honda,city,manual,7.0,petrol,1497.0,102835.0,1.0,608000.0,,,,,
honda,amaze,manual,5.0,petrol,1199.0,37864.0,1.0,543000.0,,,,,
honda,city,automatic,7.0,petrol,1497.0,42012.0,1.0,814000.0,,,,,
hyundai,i20,manual,11.0,petrol,1197.0,31479.0,1.0,316000.0,,,,,
kia,seltos,manual,3.0,petrol,1497.0,26456.0,1.0,1221000.0,,,,,
toyota,urban,manual,3.0,petrol,1462.0,42381.0,1.0,862000.0,,,,,
renault,kwid,automatic,5.0,petrol,999.0,13568.0,1.0,386000.0,,,,,
maruti,ciaz,automatic,2.0,petrol,1462.0,21566.0,1.0,974000.0,,,,,
kia,seltos,manual,5.0,petrol,1497.0,85336.0,1.0,1032000.0,,,,,
maruti,swift,manual,9.0,petrol,1197.0,35817.0,1.0,377000.0,,,,,
hyundai,creta,manual,5.0,diesel,1582.0,72781.0,1.0,1114000.0,,,,,
jeep,compass,manual,4.0,petrol,1368.0,76041.0,1.0,1065000.0,,,,,
maruti,ciaz,manual,8.0,petrol,1373.0,60440.0,1.0,478000.0,,,,,
